player_name,team,pos,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds
Dalevon Campbell,LAC,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Derius Davis,LAC,WR,0.04,0,0.7917,2.7083,9,,,,4.4583,,0.1875,0.8356,0.2273,,2.8
Gary Jennings,LAC,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
KeAndre Lambert-Smith,LAC,WR,0.03,0,0.4143,4.2,3.75,,,,19.3286,,0.3429,0,0.125,,2.3708
Ladd McConkey,LAC,WR,0.245,0,0.6789,4,5.1009,,,,10.1708,,0.1162,0.6372,0.1611,,3.2088
Quentin Johnston,LAC,WR,0.165,0,0.6149,2.6,4.9059,,,,10.8899,,0.2011,0.2098,0.1686,,2.7271
Sincere Brown,LAC,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Theo Wease,LAC,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Tre Harris,LAC,WR,0.115,0.03,0.7156,5,4.9524,,,,7.7417,,0.1448,-0.7496,0.1488,,1.9394
Charlie Kolar,LAC,TE,0.03,0,0.7454,2,6.7111,,,,6.0463,,0.0139,2.7291,0.2222,,2.147
David Njoku,LAC,TE,0.06,0,0.6851,-2.333,4.7175,,,,4.5876,,0.0412,0.5166,0.1867,,3.0333
Evan Svoboda,LAC,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Oronde Gadsden,LAC,TE,0.09,0,0.7322,4,4.2089,,,,8.9411,,0.1315,-0.1361,0.1981,,3.2503
Patrick Herbert,LAC,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Aidan O'Connell,LV,QB,0,0,,,,-4.5705,0.0378,0,,8.276,,,,2.8932,
Fernando Mendoza,LV,QB,0,0.05,,,,0,0.072,0.05,,8,,,,2.8172,
Kirk Cousins,LV,QB,0,0.01,,,,-1.2396,0.0488,0,,7.0759,,,,2.7297,
Ashton Jeanty,LV,RB,0.145,0.705,0.7707,3.8431,9.0385,,,,-0.5561,,0.0312,0.3406,0.2214,,3.2
Chris Collier,LV,RB,0.01,0.05,0.5,2.5,1,,,,-2.5,,0,-9.6348,0,,3.2
Dare Ogunbowale,LV,RB,0,0,0.6804,3.236,7.076,,,,1.258,,0.0103,0.4873,0.2462,,3.2
Dylan Laube,LV,RB,0,0,0.6667,1.0417,7,,,,-1.5,,0,-2.0477,0.25,,3.2
Mike Washington,LV,RB,0.03,0.215,0.75,4.561,6.5,,,,-0.6118,,0.02,0.1594,0.1279,,3.2
Roman Hemby,LV,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Chase Roberts,LV,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Cody White,LV,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Corey Rucker,LV,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Dareke Young,LV,WR,0.03,0,0.5,4.2,0,,,,16.5,,0.25,-6.1414,0,,2.8
Deven Thompkins,LV,WR,0,0,0.6818,7.429,5.4,,,,5.364,,0.1364,-2.1873,0.1034,,2.531
Dont'e Thornton,LV,WR,0.025,0,0.2955,4,4.7143,,,,16.8106,,0.3712,-0.4519,0.2857,,2.8
Jack Bech,LV,WR,0.05,0,0.6333,4,5.0556,,,,7.5194,,0.0722,1.0545,0.2778,,2.7631
Jalen Nailor,LV,WR,0.13,0,0.5484,1.8,3.5987,,,,12.0729,,0.2135,0.2708,0.1423,,3.117
Justin Shorter,LV,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Malik Benson,LV,WR,0.06,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Tre Tucker,LV,WR,0.18,0.01,0.6252,5.0625,4.6826,,,,11.4145,,0.2338,-0.6882,0.1574,,3.2304
Albert Okwuegbunam,LV,TE,0,0,0.8333,4,6.8,,,,3,,0,0.1783,0.2,,3.8692
Brock Bowers,LV,TE,0.28,0.01,0.7309,2.1429,5.5673,,,,6.3358,,0.073,0.9504,0.2155,,3.214
Carter Runyon,LV,TE,0,0,1,4.2,6,,,,-3,,0,-3.942,0,,3
Chris Myarick,LV,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Connor Heyward,LV,TE,0,0,0.7778,3.0208,1.1875,,,,6,,0.0278,-1.2043,0,,2.604
Ian Thomas,LV,TE,0,0,0.9,4,4.3519,,,,3.8667,,0,-1.6497,0.0278,,4.621
Michael Mayer,LV,TE,0.06,0,0.6342,4,4.4034,,,,5.6092,,0.0521,-0.344,0.1671,,3.3168
Brady Cook,MIA,QB,0,0.05,,,,-10.0291,0.099,0,,5.667,,,,2.57,
Kyle McCord,MIA,QB,0,,,,,0,0.06,0.05,,8,,,,2.7,
Malik Willis,MIA,QB,0,0.155,,,,0.5543,0.08452,0.095,,7.0874,,,,2.9144,
Carlos Washington,MIA,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
DJ Herman,MIA,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
De'Von Achane,MIA,RB,0.165,0.6,0.8324,5.1008,8.0096,,,,-0.2076,,0.0199,0.1285,0.2883,,3.2
Jarquez Hunter,MIA,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Jaylen Wright,MIA,RB,0.04,0.14,0.5741,4.0211,8.5833,,,,-1.9074,,0,0.5347,0.25,,3.2
Ollie Gordon,MIA,RB,0.04,0.09,0.8125,2.141,8.1429,,,,-3.0625,,0,-1.3276,0.1429,,3.2
Caleb Douglas,MIA,WR,0.11,0,0.5974,4.2,2.951,,,,11.783,,0.2841,-0.9847,0.1154,,2.8
Chris Bell,MIA,WR,0.15,0,0.6497,4.2,4.017,,,,8.9172,,0.12,-0.4387,0.1247,,2.8
Jalen Reagor,MIA,WR,0,0,0.5714,-1,3.5,,,,12.3571,,0.3571,-2.8493,0.1,,2.445
Jalen Tolbert,MIA,WR,0.1,0,0.5217,4,2.8036,,,,11.9338,,0.1846,-1.5423,0.1171,,2.7833
Kevin Coleman,MIA,WR,0.05,0,0.058,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Malik Washington,MIA,WR,0.125,0,0.6852,5.7333,5.3617,,,,5.8173,,0.0946,-0.8783,0.1352,,3.9845
